timestamp,elapsed_min,cell_voltage_v,charge_current_mA,temperature_c,relay_state,soc_percent,setpoint_low_v,setpoint_high_v,pid_setpoint_v,voltage_error_v,pid_integral_v_min,pid_bias_percent,pid_p_percent,pid_i_percent,pid_d_percent,pid_raw_percent,pid_output_percent,pid_relay_request,temperature_cutoff_c,mode,fault_reason
2026-04-24T09:00:00,0.0,3.8699,939.7,23.68,1,47.6,3.85,4.0,3.925,0.0551,0.0551,50.0,46.8,0.13,-5.03,91.9,91.9,1,45.0,charging,
2026-04-24T09:01:00,1.0,3.8547,647.4,23.94,1,48.0,3.85,4.0,3.925,0.0703,0.1254,50.0,59.77,0.3,0.84,110.9,100.0,1,45.0,charging,
2026-04-24T09:02:00,2.0,3.8626,749.9,24.2,1,48.4,3.85,4.0,3.925,0.0624,0.1878,50.0,53.06,0.45,-0.43,103.1,100.0,1,45.0,charging,
2026-04-24T09:03:00,3.0,3.8628,698.7,24.3,1,48.8,3.85,4.0,3.925,0.0622,0.25,50.0,52.84,0.6,-0.01,103.4,100.0,1,45.0,charging,
2026-04-24T09:04:00,4.0,3.8695,672.6,24.44,1,49.2,3.85,4.0,3.925,0.0555,0.3054,50.0,47.15,0.73,-0.37,97.5,97.5,1,45.0,charging,
2026-04-24T09:05:00,5.0,3.8693,666.5,24.63,1,49.6,3.85,4.0,3.925,0.0557,0.3611,50.0,47.32,0.87,0.01,98.2,98.2,1,45.0,charging,
2026-04-24T09:06:00,6.0,3.8667,652.6,24.72,1,50.0,3.85,4.0,3.925,0.0583,0.4195,50.0,49.59,1.01,0.15,100.7,100.0,1,45.0,charging,
2026-04-24T09:07:00,7.0,3.8729,683.0,24.93,1,50.4,3.85,4.0,3.925,0.0521,0.4715,50.0,44.28,1.13,-0.34,95.1,95.1,1,45.0,charging,
2026-04-24T09:08:00,8.0,3.8696,667.4,25.03,1,50.8,3.85,4.0,3.925,0.0554,0.5269,50.0,47.06,1.26,0.18,98.5,98.5,1,45.0,charging,
2026-04-24T09:09:00,9.0,3.8822,673.0,25.16,1,51.2,3.85,4.0,3.925,0.0428,0.5697,50.0,36.35,1.37,-0.69,87.0,87.0,1,45.0,charging,
2026-04-24T09:10:00,10.0,3.8786,572.3,25.35,1,51.6,3.85,4.0,3.925,0.0464,0.6161,50.0,39.42,1.48,0.2,91.1,91.1,1,45.0,charging,
2026-04-24T09:11:00,11.0,3.8816,647.5,25.46,1,52.0,3.85,4.0,3.925,0.0434,0.6594,50.0,36.85,1.58,-0.17,88.3,88.3,1,45.0,charging,
2026-04-24T09:12:00,12.0,3.8782,631.2,25.52,1,52.4,3.85,4.0,3.925,0.0468,0.7062,50.0,39.77,1.69,0.19,91.7,91.7,1,45.0,charging,
2026-04-24T09:13:00,13.0,3.8769,623.6,25.68,1,52.7,3.85,4.0,3.925,0.0481,0.7543,50.0,40.87,1.81,0.07,92.8,92.8,1,45.0,charging,
2026-04-24T09:14:00,14.0,3.8828,652.8,25.76,1,53.1,3.85,4.0,3.925,0.0422,0.7965,50.0,35.87,1.91,-0.32,87.5,87.5,1,45.0,charging,
2026-04-24T09:15:00,15.0,3.8843,626.9,25.66,1,53.5,3.85,4.0,3.925,0.0407,0.8372,50.0,34.6,2.01,-0.08,86.5,86.5,1,45.0,charging,
2026-04-24T09:16:00,16.0,3.8867,624.3,25.8,1,53.9,3.85,4.0,3.925,0.0383,0.8755,50.0,32.59,2.1,-0.13,84.6,84.6,1,45.0,charging,
2026-04-24T09:17:00,17.0,3.8932,582.9,25.95,1,54.2,3.85,4.0,3.925,0.0318,0.9073,50.0,27.03,2.18,-0.36,78.8,78.8,1,45.0,charging,
2026-04-24T09:18:00,18.0,3.8892,590.5,26.03,1,54.6,3.85,4.0,3.925,0.0358,0.9431,50.0,30.44,2.26,0.22,82.9,82.9,1,45.0,charging,
2026-04-24T09:19:00,19.0,3.8938,639.9,26.14,1,55.0,3.85,4.0,3.925,0.0312,0.9743,50.0,26.53,2.34,-0.25,78.6,78.6,1,45.0,charging,
2026-04-24T09:20:00,20.0,3.8966,597.7,26.17,1,55.3,3.85,4.0,3.925,0.0284,1.0028,50.0,24.15,2.41,-0.15,76.4,76.4,1,45.0,charging,
2026-04-24T09:21:00,21.0,3.8917,562.1,26.23,1,55.7,3.85,4.0,3.925,0.0333,1.036,50.0,28.29,2.49,0.27,81.0,81.0,1,45.0,charging,
2026-04-24T09:22:00,22.0,3.8957,571.0,26.23,1,56.0,3.85,4.0,3.925,0.0293,1.0653,50.0,24.89,2.56,-0.22,77.2,77.2,1,45.0,charging,
2026-04-24T09:23:00,23.0,3.8967,558.0,26.3,1,56.4,3.85,4.0,3.925,0.0283,1.0936,50.0,24.03,2.62,-0.06,76.6,76.6,1,45.0,charging,
2026-04-24T09:24:00,24.0,3.9034,564.6,26.35,1,56.7,3.85,4.0,3.925,0.0216,1.1152,50.0,18.4,2.68,-0.36,70.7,70.7,1,45.0,charging,
2026-04-24T09:25:00,25.0,3.9,538.4,26.39,1,57.0,3.85,4.0,3.925,0.025,1.1402,50.0,21.24,2.74,0.18,74.2,74.2,1,45.0,charging,
2026-04-24T09:26:00,26.0,3.9038,580.5,26.44,1,57.4,3.85,4.0,3.925,0.0212,1.1614,50.0,18.05,2.79,-0.21,70.6,70.6,1,45.0,charging,
2026-04-24T09:27:00,27.0,3.905,559.4,26.45,1,57.7,3.85,4.0,3.925,0.02,1.1815,50.0,17.03,2.84,-0.07,69.8,69.8,1,45.0,charging,
2026-04-24T09:28:00,28.0,3.9013,535.5,26.49,1,58.0,3.85,4.0,3.925,0.0237,1.2052,50.0,20.15,2.89,0.2,73.2,73.2,1,45.0,charging,
2026-04-24T09:29:00,29.0,3.9137,543.2,26.53,1,58.4,3.85,4.0,3.925,0.0113,1.2165,50.0,9.59,2.92,-0.68,61.8,61.8,1,45.0,charging,
